-0.06301,0.29264,-2560.00000,0.06842,0.16236,-2640.00000
-0.06812,0.27387,-2664.00000,0.07010,0.13153,-2656.00000
-0.06958,0.26734,-2680.00000,0.07495,0.11735,-2656.00000
-0.07052,0.26356,-2696.00000,0.07610,0.11802,-2640.00000
-0.07135,0.26291,-2688.00000,0.07663,0.11814,-2624.00000
-0.07185,0.26490,-2672.00000,0.07710,0.11770,-2624.00000
-0.07217,0.26689,-2656.00000,0.07685,0.12597,-2608.00000
-0.07245,0.26668,-2648.00000,0.07930,0.15165,-2440.00000
-0.07301,0.25785,-2704.00000,0.07878,0.15060,-2672.00000
-0.07350,0.24563,-2768.00000,0.08032,0.16931,-2888.00000
-0.07417,0.21207,-2888.00000,0.08188,0.19274,-2936.00000
-0.07493,0.18504,-2928.00000,0.08194,0.20519,-2976.00000
-0.07757,0.16111,-2776.00000,0.07723,0.23906,-3048.00000
-0.07311,0.12793,-2760.00000,0.07488,0.27047,-2880.00000
-0.07260,0.11212,-2720.00000,0.07195,0.29586,-2704.00000
-0.07152,0.10156,-2720.00000,0.07057,0.30900,-2544.00000
-0.06762,0.08580,-2768.00000,0.06978,0.31503,-2384.00000
-0.06506,0.07638,-2800.00000,0.06924,0.31752,-2288.00000
-0.06263,0.06601,-2552.00000,0.06856,0.31860,-2256.00000
-0.06285,0.06137,-2472.00000,0.06829,0.31559,-2216.00000
-0.06530,0.07934,-2544.00000,-0.50230,-0.14118,-19096.00000
-0.06772,0.09477,-2640.00000,0.06778,0.30329,-2344.00000
-0.07284,0.11719,-2656.00000,0.06872,0.28802,-2552.00000
-0.07516,0.12923,-2704.00000,0.06989,0.28180,-2608.00000
-0.07598,0.13568,-2760.00000,0.07058,0.24978,-2776.00000
-0.07603,0.16796,-2896.00000,0.07400,0.21248,-2832.00000
-0.07857,0.19985,-2848.00000,0.07054,0.18044,-2880.00000
-0.07601,0.22606,-2904.00000,0.07274,0.15504,-2768.00000
-0.07407,0.25274,-2896.00000,0.06981,0.12606,-2832.00000
-0.07329,0.27231,-2800.00000,0.06807,0.11057,-2784.00000
-0.07307,0.28334,-2720.00000,0.06690,0.10239,-2728.00000
-0.07301,0.29040,-2592.00000,0.06621,0.09937,-2648.00000
-0.07274,0.29435,-2520.00000,0.06596,0.09950,-2584.00000
-0.07231,0.29649,-2464.00000,0.06603,0.10151,-2528.00000
-0.07194,0.29656,-2424.00000,0.06631,0.10459,-2496.00000
-0.07168,0.29481,-2408.00000,0.06659,0.10800,-2480.00000
-0.07179,0.28830,-2424.00000,0.06695,0.11271,-2512.00000
-0.07259,0.27290,-2544.00000,0.06833,0.12271,-2632.00000
-0.07374,0.25404,-2696.00000,0.07544,0.15329,-2552.00000
-0.07582,0.23133,-2848.00000,0.07688,0.15128,-2864.00000
-0.07991,0.20041,-2920.00000,0.08406,0.18620,-2792.00000
-0.08066,0.17105,-3024.00000,0.08656,0.19801,-2848.00000
-0.08037,0.13830,-3120.00000,0.08257,0.23514,-3056.00000
-0.08120,0.11304,-3064.00000,-0.50392,-0.14199,-19136.00000
-0.08119,0.10025,-3016.00000,0.08107,0.25944,-3072.00000
-0.08122,0.09316,-2968.00000,0.08005,0.26955,-3112.00000
-0.08084,0.08994,-2888.00000,0.07778,0.27565,-3096.00000
-0.08034,0.08834,-2848.00000,0.07573,0.27854,-3080.00000
-0.07993,0.08928,-2808.00000,0.07397,0.27943,-3056.00000
-0.07963,0.09155,-2768.00000,0.07384,0.27337,-3064.00000
-0.07944,0.09508,-2752.00000,0.07149,0.26802,-3032.00000
-0.08010,0.10452,-2744.00000,0.07525,0.25489,-2856.00000
-0.08026,0.11406,-2800.00000,0.07829,0.22505,-2976.00000
-0.07747,0.12112,-2824.00000,0.08088,0.21201,-2928.00000
-0.07651,0.15093,-3040.00000,0.08291,0.19382,-2840.00000
-0.08017,0.18583,-2976.00000,0.08265,0.17262,-2808.00000
-0.07816,0.21105,-3128.00000,-0.50432,-0.14208,-19144.00000
-0.07788,0.23258,-3136.00000,0.06706,0.12618,-2896.00000
-0.07645,0.25252,-3120.00000,0.06406,0.11161,-2896.00000
-0.07588,0.26466,-3080.00000,0.06252,0.10391,-2880.00000
-0.07522,0.27459,-2992.00000,0.06133,0.09892,-2872.00000
-0.07482,0.28004,-2896.00000,0.06019,0.09706,-2840.00000
-0.07426,0.28319,-2816.00000,0.05922,0.09742,-2808.00000
-0.07351,0.28472,-2752.00000,0.05964,0.10309,-2744.00000
-0.07248,0.28548,-2720.00000,0.06028,0.10734,-2712.00000
-0.07139,0.28518,-2704.00000,0.06089,0.11015,-2688.00000
-0.07020,0.28414,-2696.00000,0.06123,0.11148,-2688.00000
-0.06907,0.28276,-2680.00000,0.06154,0.11264,-2680.00000
-0.06808,0.28132,-2680.00000,0.06073,0.11487,-2704.00000
-0.06719,0.27972,-2680.00000,0.06021,0.11656,-2720.00000
-0.06630,0.27802,-2696.00000,0.05987,0.11777,-2728.00000
-0.06560,0.27654,-2704.00000,0.05968,0.11866,-2744.00000
